label,actual,predicted
umami,1.0,16.624325248720172
umami,23.0,25.601907267774237
umami,15.0,16.453513091068316
umami,14.0,6.719202044667679
umami,14.0,11.801277681748616
umami,1.0,4.493607390559745
umami,15.0,19.890597860594387
umami,25.0,17.345877506898866
umami,25.0,23.27546271029015
umami,17.0,21.575135098769067
umami,8.0,11.702483476345346
umami,21.0,24.354867550686983
umami,16.0,15.819948151017524
umami,3.0,-1.8648511375782526
umami,0.0,2.541264460525941
umami,31.0,12.596379211607667
umami,27.0,23.32877107282352
umami,23.0,24.660125799833743
umami,4.0,16.597527871685994
umami,33.0,36.167442387984124
umami,21.0,16.84324615964091
umami,2.0,1.662715344328591
umami,11.0,14.476119647797676
umami,22.0,15.63014448944471
umami,21.0,19.760493369137016
umami,0.0,9.155386353814702
umami,22.0,14.398817268088367
umami,5.0,9.39853509438769
umami,32.0,36.92238710676184
sour,2.0,7.646487458210557
sour,28.0,10.102980222265536
sour,2.0,4.351911098917602
sour,12.0,7.734147441219742
sour,2.0,7.100644100241239
sour,3.0,8.655228277603872
sour,11.0,8.084716161475622
sour,8.0,8.348037881966254
sour,7.0,6.668473117992359
sour,6.0,7.794202840389838
sour,10.0,7.204516590314612
sour,3.0,3.9190266093956803
sour,6.0,8.340758938822436
sour,10.0,7.114627614535598
sour,3.0,8.59915292214831
sour,2.0,6.718026276386415
sour,22.0,12.867665052664776
sour,6.0,8.150244097399472
sour,7.0,10.274708389845024
sour,3.0,9.086965775187053
sour,2.0,7.574163073052569
sour,3.0,8.497124341172468
sour,2.0,3.530696800311537
sour,2.0,7.74343378080918
sour,8.0,13.364020419345946
sour,8.0,10.976542946138961
sour,7.0,5.67042725214799
sour,2.0,2.8316915349046266
sour,4.0,2.6964936002996662
sour,11.0,11.982067110671961
sour,33.0,13.637147825796669
sour,5.0,15.436372409683031
sour,4.0,5.02260202190919
sour,6.0,10.580217719702768
sour,14.0,29.999543729742605
sour,33.0,15.236182237195528
sour,2.0,6.126342999484303
sour,9.0,1.8004485838236324
sour,2.0,7.300816426071594
sour,32.0,34.96957357326843
sour,5.0,4.884572620777015
sour,2.0,7.300816426071594
sour,12.0,19.54771050235327
sour,4.0,10.677906624675995
sour,41.0,23.3343463624409
sour,41.0,15.522934059358205
sour,6.0,14.183905163748044
sour,4.0,12.80461633105849
sour,6.0,6.626678442997681
sour,6.0,7.615655832121021
sour,4.0,9.663383149884766
sour,37.0,14.395528905167328
sour,5.0,11.377509037627497
sour,6.0,8.175549518150103
sour,1.0,6.615212724654375
sour,1.0,6.5258393039644345
sour,3.0,6.395474025527953
sour,16.0,17.788923528992335
sour,4.0,7.712556975001352
sour,48.0,25.00519795895064
sour,24.0,20.983437325381615
sour,6.0,6.480259132289302
sour,21.0,65.92824842108604
sour,56.0,34.32111449953452
sour,22.0,26.860917732018173
sour,3.0,7.25082762576869
sour,2.0,8.827755382406107
sour,42.0,23.631032336056194
sour,2.0,1.7148936432105497
sour,26.0,15.961672904842356
